name, is_fruit, too_much_fructose, we_sell, gluten, is_molluscs,Glucose,Celery allergy,Egg allergy,Fish,Mustard,tree_nut,sesame,soybeans,sulfure_dioxide,Sulfites,Coconut allergy,part_of_diet,
orange,Yes,Yes,Sell,,,,,,,,,,,,,,,
Almonds,,,sell,,,,,,,,yes,,,,,,,
hazelnuts,,,sell,,,,,,,,yes,,,,,,,
walnuts,,,sell,,,,,,,,yes,,,,,,,
Brazil nuts,,,sell,,,,,,,,yes,,,,,,,
cashews,,,sell,,,,,,,,yes,,,,,,,
pecans,,,sell,,,,,,,,yes,,,,,,,
Macadamia nuts,,,sell,,,,,,,,yes,,,,,,,
Sesame seeds,,,,,,,,,,,,yes,,,,,,
pistachios,,,sell,,,,,,,,yes,,,,,,,
Pearl lupin,,,,,,,,,,,,,,,,,,
White lupin,,,,,,,,,,,,,,,,,,
Mustard,,,sell,,,,,,,yes,,,,,,,,
Coconut,,,,,,,,,,,,,,,,Yes,,
Mustard seed,,,,,,,,,,Yes,,,,,,,,
Ketchup,,,sell,,,,,,,,,,,,,,,
Mussels,,,sell,,yes,,,,,,,,,,,,,
oysters,,,sell,,Yes,,,,,,,,,,,,,
Wine,,,Sell,,,,,,,,,,,yes,Yes,,,
egg,,,sell,,,,,Yes,,,,,,,,,,
chickpeas,,,Sell,,,,,,,,,,,,,,,
tomato,Yes,,sell,,,,,,,,,,,,,,,
kiwifruit,Yes,yes,Sell,,,,,,,,,,,,,,,
banana,Yes,yes,sell,,,,,,,,,,,,,,,
plantain,yes,,Sell,,,,,,,,,,,,,,,
Apple,Yes,yes,Sell,,,,,,,,,,,,,,,
Pear,yes,yes,Sell,,,,,,,,,,,,,,,
Good ground coffee,,,sell,,,,,,,,,,,,,,,
Bad ground coffee,,,,,,,,,,,,,,,,,,
Peanuts,,,sell,,,,,,,,yes,,,,,,,
raisings,yes,yes,sell,,,,,,,,,,,,,,,
Honey,,,sell,,,Yes,,,,,,,,,,,,
Gelatin,,,sell,,,,,,,,,,,,,,,
Oats,,,sell,Gluten,,,,,,,,,,,,,,
Green peas,,,sell,,,,,,,,,,,,,,,
peas,,,sell,,,,,,,,,,,,,,,
Iodized salt,,,sell,,,,,,,,,,,,,,,
Milk,,,sell,,,,,,,,,,,,,,,
Milk powder,,,sell,,,,,,,,,,,,,,,
sugar,,,,,,yes,,,,,,,,yes,yes,,,
Brown sugar,,,sell,,,yes,,,,,,,,yes,yes,,,
White rice enriched,,,sell,,,,,,,,,,,,,,,
barley,,,,Gluten,,,,,,,,,,,,,,
rye,,,,gluten,,,,,,,,,,,,,,
Triticale,,,,gluten,,,,,,,,,,,,,,
durum,,,,gluten,,,,,,,,,,,,,,
emmer,,,,gluten,,,,,,,,,,,,,,
kemut,,,,gluten,,,,,,,,,,,,,,
spelt,,,,gluten,,,,,,,,,,,,,,
lentils,,,sell,,,,,,,,,,,,,,,
Prawns,,,Sell,,,,,,,,,,,,,,,
crabs,,,sell,,,,,,,,,,,,,,,
Lobster,,,sell,,,,,,,,,,,,,,,
Sweet potato,,yes,sell,,,,,,,,,,,,,,,
Potato,,,sell,,,,,,,,,,,,,,,
bread,,,,Gluten,,,,,,,,,,,,,,
Wheat flour,,,Sell,Gluten,,,,,,,,,,,,,,
White onion,,,sell,,,,,,,,,,,,,,,
Red onion,,,sell,,,,,,,,,,,,,,,
cookies,,,sell,,,yes,,,,,,,,,,,,
tea,,,sell,,,,,,,,,,,,,,,
chamomile,,,sell,,,,,,,,,,,,,,,
quinoa,,,sell,,,,,,,,,,,,,,,
Canned sardines,,,sell,,,,,,yes,,,,,,,,,
noodles,,,sell,Gluten,,,,,,,,,,,,,,
Dorado,,,,,,,,,yes,,,,,,,,,
sabalo,,,,,,,,,yes,,,,,,,,,
Dorado de escamas,,,,,,,,,yes,,,,,,,,,
pirahiba,,,,,,,,,yes,,,,,,,,,
yatorana,,,,,,,,,yes,,,,,,,,,
Pacu,,,,,,,,,yes,,,,,,,,,
Chipi chipi,,,,,,,,,yes,,,,,,,,,
Surubi,,,,,,,,,yes,,,,,,,,,
Brown rice,,,sell,,,,,,,,,,,,,,,
Olive oil,,,sell,,,,,,,,,,,,,,,
Corn oil,,,sell,,,,,,,,,,,,,,,
vinegar,,,sell,,,,,,,,,,,yes,yes,,,
Pickles,,,,,,,,,,,,,,yes,yes,,,
Cinnamon,,,sell,,,,,,,,,,,yes,yes,,,
Red peppers,,,sell,,,,,,,,,,,,,,,
garlic,,,sell,,,,,,,,,,,,,,,
Red sweet pepper,,,sell,,,,,,,,,,,,,,,
pepper,,,sell,,,,,,,,,,,,,,,
green sweet pepper,,,sell,,,,,,,,,,,,,,,
basil,,,sell,,,,,,,,,,,,,,,
pistachios,,,sell,,,,,,,,,,,,,,,
Good yogurt,,,Sell,,,,,,,,,,,yes,yes,,,
Bad yogurt,,,,,,yes,,,,,,,,Yes,yes,,,
Cocoa,,,sell,,,,,,,,,,,,,,,
cheese,,,sell,,,,,,,,,,,,,,,
Low fat delactosed milk,,,sell,,,yes,,,,,,,,,,,,
Whole milk,,,sell,,,,,,,,,,,,,,,
Whole delactosed milk,,,sell,,,yes,,,,,,,,,,,,
Low fat milk,,,sell,,,,,,,,,,,,,,,
Avocados,,,sell,,,,,,,,,,,,,,,
butter,,,sell,,,,,,,,,,,,,,,
Margarine,,,sell,,,,,,,,,,,,,,,
mermelade,,yes,sell,,,yes,,,,,,,,yes,Yes,,,
trout,,,sell,,,,,,Yes,,,,,,,,,
salmon,,,sell,,,,,,yes,,,,,,,,,
Condensed milk,,,sell,,,yes,,,,,,,,,,,,
beef,,,sell,,,,,,,,,,,,,,,
Chicken,,,sell,,,,,,,,,,,,,,,
anise,,,sell,,,,,,,,,,,,,,,
Nutella,,,sell,,,yes,,,,,,,,,,,,
Good chocolate,,,sell,,,,,,,,,,,,,,,
Bad chocolate,,,,,,Yes,,,,,,,,,,,,
Pinto beans,,,sell,,,,,,,,,,,,,,,
Red beans,,,sell,,,,,,,,,,,,,,,
Kidney beans,,,sell,,,,,,,,,,,,,,,
Black beans,,,sell,,,,,,,,,,,,,,,
White beans,,,sell,,,,,,,,,,,,,,,
carrots,,,sell,,,,,,,,,,,,,,,
Edible pods peas,,,sell,,,,,,,,,,,,,,,
peas,,,sell,,,,,,,,,,,,,,,
Romaine lettuce,,,sell,,,,,,,,,,,,,,,
celtuce,,,sell,,,,,,,,,,,,,,,
Batavia lettuce,,,sell,,,,,,,,,,,,,,,
Leaf lettuce,,,sell,,,,,,,,,,,,,,,
Butterhead lettuce,,,sell,,,,,,,,,,,,,,,
Scallions,,,sell,,,,,,,,,,,,,,,
Green onions,,,sell,,,,,,,,,,,,,,,
shallots,,,sell,,,,,,,,,,,,,,,
chives,,,sell,,,,,,,,,,,,,,,
Coriander seeds,,,sell,,,,,,,,,,,,,,,
Dill,,,,,,,,,,,,,,,,,,
mirin,,,,,,,,,,,,,,,,,,
Parsley,,,sell,,,,,,,,,,,,,,,
Broccoli,,,sell,,,,,,,,,,,,,,,
Broccoli rabe,,,sell,,,,,,,,,,,,,,,
cucumber,,,sell,,,,,,,,,,,,,,,
spinach,,,sell,,,,,,,,,,,,,,,
White cabbage,,,sell,,,,,,,,,,,,,,,
Red cabbage,,,sell,,,,,,,,,,,,,,,
Savoy cabbage,,,sell,,,,,,,,,,,,,,,
Chilli pepper,,,sell,,,,,,,,,,,,,,,
lemon,Yes,,sell,,,,,,,,,,,,,,,
Lime,Yes,,sell,,,,,,,,,,,,,,,
Acerola,Yes,,sell,,,,,,,,,,,,,,,
Rice flour,,,,,,,,,,,,,,,,,,
Quinoa flour,,,,,,,,,,,,,,,,,,
Beet root,,,sell,,,,,,,,,,,,,,,
ginger,,,sell,,,,,,,,,,,,,,,
Watermelon,Yes,yes,sell,,,yes,,,,,,,,,,,,
Radish,,,sell,,,,,,,,,,,,,,,
Turnip,,,sell,,,,,,,,,,,,,,,
Brussels sprouts,,,sell,,,,,,,,,,,,,,,
Swiss chard,,,sell,,,,,,,,,,,,,,,
Grape fruits,,,sell,,,yes,,,,,,,,,,,,
mandarine,,yes,sell,,,Yes,,,,,,,,,,,,
nectarines,,yes,sell,,,Yes,,,,,,,,,,,,
Apricots,Yes,yes,sell,,,yes,,,,,,,,,,,,
peaches,yes,yes,sell,,,yes,,,,,,,,,,,,
plums,yes,yes,sell,,,yes,,,,,,,,,,,,
mangoes,yes,yes,sell,,,yes,,,,,,,,,,,,
strawberries,yes,yes,sell,,,yes,,,,,,,,,,,,
raspberries,yes,yes,sell,,,yes,,,,,,,,,,,,
blueberries,yes,yes,sell,,,yes,,,,,,,,,,,,
passionfruit,yes,yes,sell,,,yes,,,,,,,,,,,,
rockmelons,yes,yes,sell,,,yes,,,,,,,,,,,,
Honeydew melons,yes,yes,sell,,,yes,,,,,,,,,,,,
pumpkin,yes,yes,sell,,,yes,,,,,,,,,,,,
zucchini,,,sell,,,,,,,,,,,,,,,
yam,,,sell,,,,,,,,,,,,,,,
asparagus,,,sell,,,,,,,,,,,,,,,
celery,,,sell,,,,yes,,,,,,,,,,,
celeriac,,,sell,,,,Yes,,,,,,,,,,,
onion,,,sell,,,,,,,,,,,,,,,
garlic,,,sell,,,,,,,,,,,,,,,
Soy beans,,,sell,,,,,,,,,,Yes,,,,,
tofu,,,,,,,,,,,,,yes,,,,,
Chickpeas flour,,,,,,,,,,,,,,,,,,
Lentil flour,,,,,,,,,,,,,,,,,,
Soy flour,,,,,,,,,,,,,yes,,,,,
Haricot beans,,,sell,,,,,,,,,,,,,,,
Red kidney beans,,,sell,,,,,,,,,,,,,,,
Green peas,,,sell,,,,,,,,,,,,,,,
Green beans,,,sell,,,,,,,,,,,,,,,
Butter beans,,,sell,,,,,,,,,,,,,,,
Snow peas,,,sell,,,,,,,,,,,,,,,
Broad beans,,,sell,,,,,,,,,,,,,,,